key,name,iata-code,operational-scope,city,country,website,email,contact-phone
# Base entity
airport-00,John F. Kennedy International Airport,JFK,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
# name variations
airport-01,A,AAA,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-02,AB,AAC,INTERNATIONAL,Paris,France,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-03,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,AAD,INTERNATIONAL,Melbourne,Australia,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-04,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,AAE,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-05,洛伦·伊普森,AAF,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-06,โลเร็ม อิปซัม,AAG,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-07,لوريم إيبسوم,AAH,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-08,<script>alert('Hacked');</script>,AAI,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-09,<marquee>Malicious</marquee>,AAJ,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-10,' OR '1'='1,AAK,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
# iata-code variations
airport-11,John F. Kennedy International Airport,AAL,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-12,John F. Kennedy International Airport,AAM,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
airport-13,John F. Kennedy International Airport,AAN,INTERNATIONAL,New York,USA,https://www.jfkairport.com,info@jfkairport.com,+12125551234
